ap_latest_rank,ap_preseason_rank,avg_closing_spread,avg_closing_total,avg_cover_margin,avg_lines_per_game,avg_margin,avg_opponent_postgame_elo,avg_opponent_pregame_elo,avg_points_against,avg_points_for,avg_team_postgame_elo,avg_team_pregame_elo,cfp_latest_rank,cfp_preseason_rank,classification,coaches_latest_rank,coaches_preseason_rank,conference,defense_explosiveness_allowed,defense_havoc_created,defense_line_yards_allowed,defense_passing_down_success_rate_allowed,defense_points_per_opportunity_allowed,defense_ppa_allowed,defense_standard_down_success_rate_allowed,defense_success_rate_allowed,fbs_avg_margin,fbs_avg_opponent_postgame_elo,fbs_avg_opponent_pregame_elo,fbs_games,fbs_losses,fbs_margin_sum,fbs_opponent_postgame_elo_sum,fbs_opponent_pregame_elo_sum,fbs_win_pct,fbs_wins,games_played,games_with_lines,latest_team_postgame_elo,line_count_sum,losses,margin_sum,offense_explosiveness,offense_havoc_allowed,offense_line_yards,offense_passing_down_success_rate,offense_points_per_opportunity,offense_ppa,offense_standard_down_success_rate,offense_success_rate,opponent_postgame_elo_sum,opponent_pregame_elo_sum,points_against,points_for,recent_avg_cover_margin,recent_avg_margin,recent_fbs_avg_margin,recent_fbs_win_pct,recent_win_pct,talent,team,team_id,wepa_allowed_total,wepa_explosiveness,wepa_explosiveness_allowed,wepa_pass,wepa_rush,wepa_rush_line_yards,wepa_rush_line_yards_allowed,wepa_success_rate,wepa_success_rate_allowed,wepa_total,win_pct,wins
,,14.528,48.861,4.194,2.917,-10.333,1595.917,1600.25,29.167,18.833,1269.583,1265.25,,,fbs,,,ACC,1.302991,0.146,2.801939,0.340502,3.458824,0.17839,0.467391,0.424789,-10.333,1595.917,1600.25,12,8,-124,19151.0,19203.0,0.3333,4,12,12,1335.0,35.0,8,-124,1.217562,0.172,2.615493,0.254682,3.016667,0.063267,0.420455,0.36478,19151.0,19203.0,350,226,6.519,-10.031,-10.031,0.3261,0.3261,707.27,Stanford,24,0.150213,0.901007,0.936475,0.228827,0.028196,2.678245,2.796581,0.385476,0.406124,0.103695,0.3333,4
,,8.465,54.056,-6.285,2.917,-14.75,1529.75,1503.333,34.917,20.167,1384.833,1411.25,,,fbs,,,ACC,1.304898,0.134,2.899735,0.318777,4.148649,0.266305,0.502683,0.449239,-19.909,1668.818,1640.0,11,9,-219,18357.0,18040.0,0.1818,2,12,12,1182.0,35.0,9,-177,1.17696,0.188,2.728218,0.267658,2.984848,0.052319,0.447735,0.390273,18357.0,18040.0,419,242,-11.535,-24.803,-27.146,0.0711,0.1026,727.83,Syracuse,183,0.222046,0.933311,1.020008,0.110122,0.052962,2.76841,2.897417,0.388579,0.423873,0.052449,0.25,3
20,16,-6.28,53.875,4.935,3.0,11.214,1368.857,1385.5,19.571,30.786,1578.071,1561.429,19,14,fbs,21,16,ACC,1.20222,0.181,2.834247,0.233449,3.014706,0.06366,0.434783,0.369492,9.077,1474.154,1492.077,13,3,118,19164.0,19397.0,0.7692,10,14,14,1622.0,42.0,3,157,1.276593,0.135,3.017073,0.323442,3.5625,0.173465,0.456461,0.413727,19164.0,19397.0,274,431,2.033,7.529,6.642,0.6747,0.6836,666.74,Virginia,258,0.076923,0.998509,0.944983,0.223805,0.128738,2.969305,2.831448,0.410712,0.370542,0.144031,0.7857,11
,,2.444,51.833,-6.306,2.917,-8.75,1468.75,1450.75,30.167,21.417,1445.583,1463.583,,,fbs,,,ACC,1.262221,0.132,3.009559,0.330357,4.342466,0.268247,0.494505,0.446753,-12.455,1602.273,1582.636,11,9,-137,17625.0,17409.0,0.1818,2,12,12,1382.0,35.0,9,-105,1.244346,0.167,3.34105,0.26506,3.677966,0.171799,0.491329,0.417969,17625.0,17409.0,362,257,-4.946,-11.97,-13.776,0.1409,0.1748,712.19,Virginia Tech,259,0.234818,0.98039,0.960208,0.18438,0.191422,3.290611,2.924022,0.43125,0.432223,0.18972,0.25,3
,,-0.192,50.859,5.808,2.923,6.0,1358.462,1368.769,22.077,28.077,1440.308,1430.0,,,fbs,,,ACC,1.214008,0.182,2.527356,0.250774,3.238095,0.040786,0.409917,0.354526,3.833,1471.667,1482.833,12,4,46,17660.0,17794.0,0.6667,8,13,13,1508.0,38.0,4,78,1.477695,0.155,2.762929,0.27972,3.232558,0.15901,0.430314,0.380233,17660.0,17794.0,287,365,4.877,5.013,4.3,0.6434,0.6525,627.16,Wake Forest,154,0.054302,0.998609,0.93258,0.22135,0.093209,2.832211,2.614617,0.383732,0.350168,0.137531,0.6923,9
,,-1.308,47.048,0.923,2.923,2.231,1317.231,1315.846,21.615,23.846,1552.769,1554.154,,,fbs,,,American Athletic,1.117196,0.127,3.147031,0.289474,3.764706,0.175006,0.512324,0.448492,2.667,1427.0,1425.5,12,5,32,17124.0,17106.0,0.5833,7,13,13,1512.0,38.0,6,29,1.143645,0.083,3.040492,0.286325,3.7,0.185317,0.472441,0.422325,17124.0,17106.0,281,310,1.205,1.182,1.266,0.4961,0.4863,23.66,Army,349,0.151197,0.956905,0.888356,0.319109,0.122341,2.943287,3.074418,0.401183,0.4469,0.161088,0.5385,7
,,18.701,53.035,-3.299,2.917,-22.0,1414.167,1394.917,36.333,14.333,1102.833,1122.083,,,fbs,,,American Athletic,1.072325,0.106,3.242013,0.324201,4.162791,0.226139,0.589231,0.52244,-24.636,1542.727,1521.727,11,11,-271,16970.0,16739.0,0.0,0,12,12,1023.0,35.0,11,-264,1.225603,0.185,2.284259,0.245136,2.72549,-0.007105,0.41189,0.353022,16970.0,16739.0,436,172,-0.879,-25.421,-26.493,0.0,0.032,526.3,Charlotte,2429,0.186963,0.884897,0.91407,0.120518,-0.040774,2.402236,3.143155,0.333223,0.501676,-0.008554,0.0833,1
,,-5.058,56.776,7.558,2.923,12.615,1297.308,1309.462,20.077,32.692,1533.154,1521.0,,,fbs,,,American Athletic,1.248205,0.191,2.348649,0.263975,3.046154,0.050074,0.43958,0.37626,9.25,1405.417,1418.583,12,4,111,16865.0,17023.0,0.6667,8,13,13,1576.0,38.0,4,164,1.161365,0.129,3.068681,0.341912,3.758242,0.192662,0.500678,0.457879,16865.0,17023.0,261,425,4.812,11.68,10.56,0.7162,0.7237,611.55,East Carolina,151,0.091666,0.904816,0.979825,0.285488,0.088467,2.97816,2.670943,0.437546,0.399775,0.159603,0.6923,9
,,5.715,61.493,-1.118,2.917,-6.833,1329.083,1318.0,36.333,29.5,1230.583,1241.667,,,fbs,,,American Athletic,1.291327,0.139,2.983974,0.287402,4.576923,0.224105,0.500835,0.43728,-11.273,1449.909,1437.818,11,8,-124,15949.0,15816.0,0.2727,3,12,12,1178.0,35.0,8,-82,1.398868,0.178,2.80581,0.290625,3.493827,0.159565,0.463087,0.402838,15949.0,15816.0,436,354,-3.116,-10.205,-11.655,0.2358,0.2564,605.22,Florida Atlantic,2226,0.221015,0.984274,1.003805,0.251617,0.045472,2.732723,2.986889,0.383767,0.448977,0.132899,0.3333,4
22,23,-8.564,56.295,0.744,2.846,9.308,1301.462,1296.538,23.154,32.462,1653.0,1657.923,,,fbs,23,25,American Athletic,1.287917,0.174,2.519205,0.292419,4.0,0.16928,0.462437,0.408676,7.167,1409.917,1404.583,12,5,86,16919.0,16855.0,0.5833,7,13,13,1620.0,37.0,5,121,1.309455,0.141,3.316438,0.32069,4.407407,0.245187,0.510673,0.449388,16919.0,16855.0,301,422,-2.599,3.829,3.046,0.4108,0.4252,668.63,Memphis,235,0.181483,1.04056,0.964682,0.187024,0.212611,3.131171,2.614819,0.434141,0.411216,0.20009,0.6154,8
22,23,-7.083,55.138,-0.622,2.923,6.462,1358.846,1361.308,25.0,31.462,1531.231,1528.769,,,fbs,25,23,American Athletic,1.356691,0.125,2.860185,0.306818,4.2,0.209369,0.448336,0.403593,3.25,1472.083,1474.75,12,2,39,17665.0,17697.0,0.8333,10,13,13,1527.0,38.0,2,84,1.242772,0.092,3.455836,0.333333,4.225,0.298983,0.538341,0.490408,17665.0,17697.0,325,409,0.112,0.659,-0.244,0.8088,0.8126,,Navy,2426,0.185947,1.016625,0.999528,0.325058,0.207223,3.227146,2.828095,0.460334,0.406392,0.221264,0.8462,11
23,24,-11.682,61.869,6.89,2.929,18.571,1289.5,1310.786,26.5,45.071,1628.714,1607.429,25,24,fbs,20,23,American Athletic,1.221332,0.137,3.195326,0.269481,4.026667,0.161551,0.484594,0.419765,16.077,1388.692,1411.615,13,2,209,18053.0,18351.0,0.8462,11,14,14,1716.0,41.0,2,260,1.309303,0.115,3.469822,0.390625,4.981308,0.351419,0.55863,0.516256,18053.0,18351.0,371,631,4.659,16.83,16.171,0.7613,0.7658,569.15,North Texas,249,0.197734,1.026,0.984391,0.399918,0.244996,3.343693,3.177721,0.506358,0.440964,0.320689,0.8571,12
,,7.885,49.615,-5.962,2.923,-13.846,1389.462,1367.769,32.923,19.077,1202.385,1224.077,,,fbs,,,American Athletic,1.482972,0.135,2.983296,0.324427,3.7125,0.239796,0.452862,0.413551,-16.75,1505.25,1481.75,12,8,-201,18063.0,17781.0,0.3333,4,13,13,1078.0,38.0,8,-180,1.207844,0.176,2.668948,0.199275,3.214286,0.037405,0.431579,0.355792,18063.0,17781.0,428,248,-8.514,-20.688,-22.131,0.2845,0.3084,530.06,Rice,242,0.224195,1.00872,1.029791,0.133357,0.006552,2.572998,2.958936,0.319714,0.418301,0.011383,0.3846,5
25,18,-9.192,61.391,7.885,2.923,17.077,1347.154,1371.615,23.385,40.462,1641.154,1616.692,24,24,fbs,20,23,American Athletic,1.326908,0.161,2.653404,0.294944,3.148148,0.080099,0.427432,0.379451,14.417,1459.417,1485.917,12,4,173,17513.0,17831.0,0.6667,8,13,13,1817.0,38.0,4,222,1.298093,0.138,3.266053,0.296875,4.453488,0.297714,0.532234,0.466956,17513.0,17831.0,304,526,8.696,23.454,22.478,0.7177,0.7281,666.89,South Florida,58,0.109987,0.960672,0.987004,0.38573,0.145195,3.141398,2.738999,0.461993,0.381162,0.255513,0.6923,9
,,5.104,52.799,3.271,2.917,-1.833,1332.833,1335.083,29.667,27.833,1257.833,1255.583,,,fbs,,,American Athletic,1.252414,0.146,3.308046,0.311321,4.770492,0.258093,0.504708,0.449529,-6.364,1454.0,1456.455,11,7,-70,15994.0,16021.0,0.3636,4,12,12,1219.0,35.0,7,-22,1.196683,0.144,2.699452,0.280543,4.583333,0.179942,0.493902,0.42777,15994.0,16021.0,356,334,-2.241,-9.787,-11.469,0.2486,0.2698,507.91,Temple,218,0.253539,0.927212,0.979582,0.265803,0.044971,2.655762,3.195288,0.402553,0.454064,0.139167,0.4167,5
17,18,-5.622,54.435,-1.836,3.0,3.786,1499.571,1497.214,23.929,27.714,1587.714,1590.071,20,24,fbs,18,18,American Athletic,1.183245,0.165,2.962361,0.330909,3.651163,0.150072,0.490701,0.445585,3.786,1499.571,1497.214,14,3,53,20994.0,20961.0,0.7857,11,14,14,1627.0,42.0,3,53,1.204651,0.125,3.102204,0.333333,3.875,0.204962,0.494048,0.447257,20994.0,20961.0,335,388,1.303,9.889,9.889,0.872,0.872,650.87,Tulane,2655,0.131193,0.924258,0.939508,0.335295,0.069859,2.995191,2.951174,0.433352,0.434441,0.178423,0.7857,11
,,6.292,53.708,0.542,2.833,-5.75,1268.667,1274.417,28.917,23.167,1067.25,1061.5,,,fbs,,,American Athletic,1.20662,0.127,2.932869,0.320755,3.779221,0.151436,0.468652,0.425249,-8.818,1384.0,1390.273,11,8,-97,15224.0,15293.0,0.2727,3,12,12,1110.0,34.0,8,-69,1.258291,0.17,2.862346,0.282392,3.342105,0.112305,0.461897,0.404661,15224.0,15293.0,347,278,-0.715,-4.858,-5.649,0.3526,0.3678,594.78,Tulsa,202,0.186889,0.997379,0.957794,0.133471,0.053031,2.808249,2.936829,0.387672,0.439157,0.081499,0.3333,4
,,10.049,60.688,-1.785,2.833,-11.833,1354.917,1343.667,38.25,26.417,1245.833,1257.083,,,fbs,,,American Athletic,1.271164,0.12,3.35,0.311881,4.708861,0.323186,0.554935,0.488498,-13.818,1478.091,1465.818,11,8,-152,16259.0,16124.0,0.2727,3,12,12,1184.0,34.0,8,-142,1.296916,0.153,3.106094,0.337255,3.628571,0.177825,0.474606,0.432203,16259.0,16124.0,459,317,-0.886,-12.99,-13.526,0.2979,0.3139,540.93,UAB,5,0.253001,0.986327,0.935672,0.221005,0.101171,2.948513,3.210178,0.399456,0.470232,0.125829,0.3333,4
,,-2.346,59.103,4.346,2.923,6.692,1332.615,1343.308,28.846,35.538,1524.308,1513.615,,,fbs,,,American Athletic,1.391218,0.185,2.745814,0.258389,4.2,0.135858,0.446461,0.380448,4.917,1443.667,1455.25,12,6,59,17324.0,17463.0,0.5,6,13,13,1575.0,38.0,6,87,1.319247,0.16,2.786811,0.335821,4.226667,0.204024,0.484452,0.439135,17324.0,17463.0,375,462,4.505,7.096,6.431,0.5196,0.5344,662.09,UTSA,2636,0.129923,1.03876,0.99313,0.268521,0.124192,2.748542,2.832381,0.42558,0.38075,0.173322,0.5385,7
21,22,-5.538,53.564,6.692,2.923,12.231,1406.769,1431.154,19.308,31.538,1537.308,1512.923,17,25,fbs,20,22,Big 12,1.194696,0.202,2.859193,0.259649,3.383333,0.06948,0.436644,0.378596,9.5,1524.0,1550.417,12,4,114,18288.0,18605.0,0.6667,8,13,13,1689.0,38.0,4,159,1.262335,0.147,3.116783,0.297491,3.609195,0.167143,0.4832,0.425885,18288.0,18605.0,251,410,9.463,13.028,12.173,0.8026,0.8077,651.62,Arizona,12,0.083516,0.997011,0.944325,0.194418,0.124356,2.976122,2.843992,0.425143,0.376349,0.157261,0.6923,9
24,11,-3.712,51.628,-2.404,2.846,1.308,1464.923,1457.923,24.462,25.769,1656.923,1663.923,20,25,fbs,25,11,Big 12,1.220272,0.188,2.755396,0.27931,3.458824,0.102584,0.467949,0.408096,-0.167,1587.0,1579.417,12,5,-2,19044.0,18953.0,0.5833,7,13,13,1615.0,37.0,5,17,1.268451,0.168,2.882983,0.28479,3.373494,0.131833,0.452978,0.398099,19044.0,18953.0,318,335,-1.646,0.544,0.106,0.6021,0.6113,738.52,Arizona State,9,0.09788,0.94974,0.939983,0.226474,0.102288,2.897213,2.802096,0.407569,0.39907,0.131473,0.6154,8
12,11,-6.601,50.467,5.685,2.929,12.286,1486.071,1493.643,19.143,31.429,1719.143,1711.571,12,7,fbs,13,23,Big 12,1.203355,0.158,2.739723,0.248387,3.294872,0.063301,0.454844,0.385201,7.923,1600.385,1608.538,13,2,103,20805.0,20911.0,0.8462,11,14,14,1750.0,41.0,2,172,1.178996,0.136,3.0238,0.296029,4.032967,0.220409,0.526706,0.459516,20805.0,20911.0,268,440,3.697,5.687,4.503,0.7232,0.7283,649.36,BYU,252,0.070515,0.937316,0.950943,0.291816,0.158473,2.965091,2.890888,0.470769,0.386768,0.22023,0.8571,12
,,-4.993,61.653,-6.493,2.917,-1.5,1491.0,1483.083,32.583,31.083,1573.0,1580.917,,,fbs,,,Big 12,1.16152,0.123,3.129399,0.280851,4.295775,0.172921,0.499151,0.436893,-4.818,1626.545,1617.909,11,7,-53,17892.0,17797.0,0.3636,4,12,12,1509.0,35.0,7,-18,1.282474,0.146,3.092042,0.35,3.694118,0.19259,0.489891,0.447454,17892.0,17797.0,391,373,-7.882,-7.124,-8.568,0.2394,0.2647,726.3,Baylor,239,0.16997,0.939976,0.956836,0.271457,0.136241,3.010649,3.035956,0.461008,0.43732,0.209016,0.4167,5
22,24,-6.295,56.487,-1.603,2.923,4.692,1458.692,1458.385,25.615,30.308,1543.308,1543.615,25,25,fbs,22,24,Big 12,1.155143,0.122,3.203509,0.320463,3.930556,0.189755,0.485075,0.439182,-0.75,1580.25,1579.917,12,6,-9,18963.0,18959.0,0.5,6,13,13,1519.0,38.0,6,61,1.318683,0.12,3.478283,0.317391,4.597403,0.298651,0.530686,0.468112,18963.0,18959.0,333,394,-5.89,-2.814,-5.192,0.3489,0.3695,644.1,Cincinnati,2132,0.194247,0.991513,0.936544,0.328483,0.167329,3.260535,3.121771,0.451799,0.436838,0.237866,0.5385,7
,,3.542,50.139,-6.042,2.917,-9.583,1587.667,1563.5,30.5,20.917,1522.083,1546.25,,,fbs,,,Big 12,1.333521,0.151,2.984168,0.284047,4.013158,0.189919,0.485269,0.423261,-9.583,1587.667,1563.5,12,9,-115,19052.0,18762.0,0.25,3,12,12,1344.0,35.0,9,-115,1.377201,0.197,2.67954,0.298013,3.483871,0.083939,0.380567,0.349246,19052.0,18762.0,366,251,-7.633,-15.006,-15.006,0.1351,0.1351,755.2,Colorado,38,0.173802,0.983873,1.01531,0.196473,0.065416,2.779305,2.955994,0.367743,0.411824,0.117918,0.25,3
25,22,-4.205,48.679,2.026,2.846,6.231,1369.692,1380.231,22.846,29.077,1473.154,1462.615,21,23,fbs,24,19,Big 12,1.118983,0.162,2.713073,0.247312,3.909091,0.105852,0.489076,0.411899,4.5,1483.833,1495.25,12,3,54,17806.0,17943.0,0.75,9,13,13,1496.0,37.0,3,81,1.219925,0.134,2.619672,0.262976,3.551724,0.106378,0.479881,0.414583,17806.0,17943.0,297,378,1.778,3.273,2.706,0.6751,0.6827,656.74,Houston,248,0.166618,0.891309,0.887682,0.306229,0.033045,2.755143,2.948305,0.444317,0.441936,0.143375,0.7692,10
22,22,-5.069,50.979,2.181,2.917,7.25,1401.167,1402.25,20.167,27.417,1620.833,1619.75,,,fbs,21,21,Big 12,1.208629,0.167,2.807945,0.285156,3.057971,0.090215,0.443378,0.391248,3.545,1528.545,1529.727,11,4,39,16814.0,16827.0,0.6364,7,12,12,1629.0,35.0,4,87,1.208735,0.145,3.037333,0.312757,3.541176,0.191413,0.506897,0.449575,16814.0,16827.0,242,329,1.193,6.184,5.105,0.6673,0.6757,648.93,Iowa State,66,0.106648,0.946784,0.925826,0.245644,0.139796,2.990061,2.821329,0.447288,0.3961,0.170748,0.6667,8
,,-5.917,55.243,-4.583,2.917,1.333,1452.667,1447.083,26.75,28.083,1600.167,1605.75,,,fbs,,,Big 12,1.385329,0.177,2.875721,0.312268,4.241935,0.236085,0.463138,0.412281,-2.091,1584.727,1578.636,11,7,-23,17432.0,17365.0,0.3636,4,12,12,1516.0,35.0,7,16,1.135863,0.144,3.511807,0.317308,3.943662,0.213694,0.537133,0.479034,17432.0,17365.0,321,337,-7.11,-6.147,-7.304,0.2359,0.255,705.32,Kansas,2305,0.230951,0.929122,0.985681,0.282321,0.157923,3.309403,2.913802,0.478584,0.426343,0.217385,0.4167,5
17,17,-4.535,52.792,-1.785,2.833,2.75,1454.5,1454.917,26.667,29.417,1678.0,1677.583,,,fbs,20,20,Big 12,1.327951,0.167,2.719205,0.279863,3.447368,0.119256,0.45189,0.394286,2.727,1586.727,1587.182,11,6,30,17454.0,17459.0,0.4545,5,12,12,1674.0,34.0,6,33,1.406304,0.175,2.796212,0.30303,4.153846,0.207904,0.460922,0.406291,17454.0,17459.0,320,353,0.332,3.495,3.507,0.5671,0.5778,705.85,Kansas State,2306,0.107301,1.058636,1.008815,0.254071,0.15022,2.792463,2.845863,0.41388,0.38893,0.207844,0.5,6
